f(x): 11.016025920167607	x1: -2.8209635913736264	x2: 3.800924683366956	
f(x): 10.97195431820491	x1: -2.814367580852449	x2: 3.7942502696851625	
f(x): 10.92805917444983	x1: -2.8077848643203684	x2: 3.7875891562652204	
f(x): 10.884339782358964	x1: -2.801215415129874	x2: 3.7809413164591175	
f(x): 10.840795438217924	x1: -2.794659206686859	x2: 3.774306723672245	
f(x): 10.797425441130018	x1: -2.7881162124505114	x2: 3.7676853513632893	
f(x): 10.754229093004973	x1: -2.781586405933209	x2: 3.7610771730441264	
f(x): 10.711205698547685	x1: -2.7750697607004113	x2: 3.754482162279714	
f(x): 10.668354565247036	x1: -2.768566250370554	x2: 3.7479002926879863	
f(x): 10.62567500336475	x1: -2.762075848614942	x2: 3.7413315379397467	
f(x): 10.583166325924271	x1: -2.7555985291576457	x2: 3.734775871758563	
f(x): 10.540827848699738	x1: -2.749134265775391	x2: 3.728233267920661	
f(x): 10.49865889020494	x1: -2.742683032297459	x2: 3.7217037002548192	
f(x): 10.456658771682356	x1: -2.736244802605576	x2: 3.715187142642263	
f(x): 10.414826817092244	x1: -2.729819550633811	x2: 3.7086835690165603	
f(x): 10.373162353101733	x1: -2.723407250368471	x2: 3.702192953363516	
f(x): 10.331664709074014	x1: -2.717007875847995	x2: 3.695715269721068	
f(x): 10.290333217057514	x1: -2.71062140116285	x2: 3.689250492179182	
f(x): 10.249167211775166	x1: -2.704247800455427	x2: 3.6827985948797477	
f(x): 10.208166030613697	x1: -2.697887047919936	x2: 3.6763595520164745	
f(x): 10.167329013612953	x1: -2.6915391178023045	x2: 3.6699333378347876	
f(x): 10.126655503455282	x1: -2.685203984400071	x2: 3.663519926631725	
f(x): 10.086144845454962	x1: -2.6788816220622826	x2: 3.657119292755833	
f(x): 10.04579638754764	x1: -2.6725720051893935	x2: 3.6507314106070643	
f(x): 10.005609480279858	x1: -2.666275108233159	x2: 3.6443562546366732	
f(x): 9.965583476798589	x1: -2.6599909056965347	x2: 3.6379937993471145	
f(x): 9.925717732840823	x1: -2.653719372133574	x2: 3.6316440192919406	
f(x): 9.886011606723208	x1: -2.6474604821493237	x2: 3.6253068890756976	
f(x): 9.846464459331706	x1: -2.641214210399725	x2: 3.618982383353825	
f(x): 9.807075654111308	x1: -2.634980531591508	x2: 3.612670476832553	
f(x): 9.7678445570558	x1: -2.628759420482092	x2: 3.6063711442688002	
f(x): 9.728770536697546	x1: -2.6225508518794842	x2: 3.6000843604700727	
f(x): 9.689852964097328	x1: -2.6163548006421773	x2: 3.5938101002943625	
f(x): 9.651091212834217	x1: -2.6101712416790486	x2: 3.587548338650046	
f(x): 9.612484658995498	x1: -2.6040001499492593	x2: 3.581299050495784	
f(x): 9.574032681166617	x1: -2.597841500462153	x2: 3.5750622108404193	
f(x): 9.53573466042119	x1: -2.591695268277156	x2: 3.568837794742878	
f(x): 9.49758998031103	x1: -2.585561428503677	x2: 3.562625777312068	
f(x): 9.45959802685623	x1: -2.5794399563010058	x2: 3.556426133706779	
f(x): 9.421758188535275	x1: -2.5733308268782142	x2: 3.5502388391355826	
f(x): 9.384069856275207	x1: -2.5672340154940567	x2: 3.5440638688567323	
f(x): 9.346532423441813	x1: -2.56114949745687	x2: 3.5379011981780644	
f(x): 9.30914528582986	x1: -2.5550772481244732	x2: 3.5317508024568984	
f(x): 9.271907841653379	x1: -2.549017242904071	x2: 3.525612657099938	
f(x): 9.234819491535966	x1: -2.542969457252152	x2: 3.519486737563172	
f(x): 9.197879638501135	x1: -2.536933866674391	x2: 3.513373019351775	
f(x): 9.161087687962723	x1: -2.5309104467255508	x2: 3.50727147802001	
f(x): 9.124443047715305	x1: -2.5248991730093837	x2: 3.5011820891711287	
f(x): 9.087945127924662	x1: -2.518900021178533	x2: 3.4951048284572748	
f(x): 9.051593341118295	x1: -2.5129129669344357	x2: 3.489039671579384	
f(x): 9.01538710217596	x1: -2.5069379860272227	x2: 3.4829865942870892	
f(x): 8.979325828320256	x1: -2.5009750542556244	x2: 3.4769455723786193	
f(x): 8.94340893910724	x1: -2.4950241474668706	x2: 3.470916581700705	
f(x): 8.907635856417084	x1: -2.4890852415565945	x2: 3.464899598148479	
f(x): 8.87200600444477	x1: -2.4831583124687358	x2: 3.458894597665382	
f(x): 8.836518809690828	x1: -2.477243336195443	x2: 3.4529015562430625	
f(x): 8.80117370095209	x1: -2.4713402887769784	x2: 3.4469204499212824	
f(x): 8.765970109312505	x1: -2.4654491463016197	x2: 3.4409512547878203	
f(x): 8.730907468133985	x1: -2.4595698849055654	x2: 3.434993946978375	
f(x): 8.695985213047276	x1: -2.453702480772838	x2: 3.4290485026764688	
f(x): 8.66120278194288	x1: -2.4478469101351874	x2: 3.423114898113353	
f(x): 8.626559614961991	x1: -2.4420031492719976	x2: 3.4171931095679113	
f(x): 8.592055154487516	x1: -2.4361711745101884	x2: 3.4112831133665646	
f(x): 8.557688845135058	x1: -2.430350962224123	x2: 3.405384885883176	
f(x): 8.523460133744013	x1: -2.4245424888355096	x2: 3.3994984035389546	
f(x): 8.489368469368639	x1: -2.41874573081331	x2: 3.3936236428023627	
f(x): 8.455413303269202	x1: -2.412960664673642	x2: 3.387760580189019	
